location_code	center	location_str
ma	SASB	Stephen A. Schwarzman Building
mab	SASB	SASB - Art & Architecture Rm 300
mab62	SASB	SASB S6 - Art & Architecture Rm 300
mab82	SASB	SASB M1 - Art & Architecture Rm 300
mab92	SASB	SASB M2 - Art and Architecture - Room 300
mabb1	SASB	SASB - Art Reference Rm 300
mabb2	SASB	SASB - Art & Architecture Rm 300
mabb3	SASB	SASB - Art - Desk Rm 300
mabm2	SASB	SASB - Art & Architecture Rm 300
mac82	SASB	SASB - Arents Collection Rm 328
macc2	SASB	SASB - Arents Collection Rm 328
mae82	SASB	SASB - Berg Collection Rm 320
maee2	SASB	SASB - Berg Collection Rm 320
maf	SASB	SASB - Dorot Jewish Division Rm 111
maf82	SASB	SASB M1 - Dorot Jewish Division Rm 111
maf88	SASB	SASB - Dorot Jewish Division Rm 111
maf92	SASB	SASB M2 - Dorot Jewish Division - Room 111
maf98	SASB	SASB M2 - Dorot Jewish Division - Room 111
maf99	SASB	SASB M2 - Dorot Jewish Division (Restricted) - Room 111
maff1	SASB	SASB - Dorot Jewish Division Reference Rm 111
maff3	SASB	SASB - Dorot Jewish Division - Desk Rm 111
mag	SASB	SASB - Milstein Division Rm 121
mag82	SASB	SASB M1 - Milstein Division Rm 121
mag92	SASB	SASB M2 - Milstein Division - Room 121
mag98	SASB	SASB M2 - Milstein Division - Room 121
magg1	SASB	SASB - Milstein Division Reference Rm 121
magg2	SASB	SASB - Milstein Division - Mezzanine
magg3	SASB	SASB - Milstein Division - Desk Rm 121
magh1	SASB	SASB - Milstein Division Microforms Rm 119
mai	SASB	SASB - Periodicals and Microforms Rm 100
mai	SASB	SASB - Microforms Rm 119
mai82	SASB	SASB M1 - Periodicals and Microforms Rm 100
mai82	SASB	SASB M1 - Periodicals and Microforms Rm 119
mai83	SASB	SASB - Periodicals and Microforms Rm 119
mai92	SASB	SASB M2 - Microforms Rm 119
maii1	SASB	SASB - Periodicals and Microforms Rm 119
